node.to,trafikk_id,total.volumeNumbers.volume,"total.volumeNumbers.volume[5.6,..)","total.volumeNumbers.volume[5.6,7.6)","total.volumeNumbers.volume[7.6,12.5)","total.volumeNumbers.volume[12.5,16.0)","total.volumeNumbers.volume[16.0,24.0)","total.volumeNumbers.volume[24.0,..)"
2019-01-01T02:00:00+01:00,67263V1811577,173.0,6.0,2.0,3.0,0.0,1.0,0.0
2019-01-01T03:00:00+01:00,67263V1811577,121.0,3.0,1.0,0.0,1.0,1.0,0.0
2019-01-01T04:00:00+01:00,67263V1811577,70.0,4.0,3.0,0.0,1.0,0.0,0.0
2019-01-01T05:00:00+01:00,67263V1811577,53.0,3.0,1.0,1.0,0.0,1.0,0.0
2019-01-01T06:00:00+01:00,67263V1811577,26.0,3.0,1.0,0.0,0.0,2.0,0.0
2019-01-01T07:00:00+01:00,67263V1811577,46.0,7.0,1.0,0.0,3.0,3.0,0.0
2019-01-01T08:00:00+01:00,67263V1811577,65.0,16.0,4.0,0.0,4.0,8.0,0.0
2019-01-01T09:00:00+01:00,67263V1811577,78.0,7.0,1.0,0.0,1.0,5.0,0.0
2019-01-01T10:00:00+01:00,67263V1811577,104.0,13.0,2.0,3.0,3.0,4.0,1.0
2019-01-01T11:00:00+01:00,67263V1811577,184.0,21.0,6.0,3.0,2.0,9.0,1.0
2019-01-01T12:00:00+01:00,67263V1811577,368.0,26.0,7.0,9.0,5.0,4.0,1.0
2019-01-01T13:00:00+01:00,67263V1811577,796.0,35.0,8.0,10.0,7.0,10.0,0.0
2019-01-01T14:00:00+01:00,67263V1811577,1363.0,44.0,11.0,14.0,4.0,14.0,1.0
2019-01-01T15:00:00+01:00,67263V1811577,1711.0,55.0,15.0,21.0,10.0,9.0,0.0
2019-01-01T16:00:00+01:00,67263V1811577,1668.0,46.0,12.0,17.0,6.0,11.0,0.0
2019-01-01T17:00:00+01:00,67263V1811577,1580.0,64.0,18.0,25.0,2.0,18.0,1.0
2019-01-01T18:00:00+01:00,67263V1811577,1552.0,61.0,16.0,23.0,8.0,14.0,0.0
2019-01-01T19:00:00+01:00,67263V1811577,1311.0,58.0,17.0,20.0,5.0,15.0,1.0
2019-01-01T20:00:00+01:00,67263V1811577,1209.0,70.0,17.0,27.0,3.0,21.0,2.0
2019-01-01T21:00:00+01:00,67263V1811577,875.0,55.0,9.0,14.0,9.0,22.0,1.0
2019-01-01T22:00:00+01:00,67263V1811577,523.0,42.0,7.0,11.0,7.0,17.0,0.0
2019-01-01T23:00:00+01:00,67263V1811577,293.0,46.0,9.0,7.0,10.0,19.0,1.0
2019-01-02T00:00:00+01:00,67263V1811577,156.0,35.0,9.0,9.0,5.0,12.0,0.0
2019-01-02T01:00:00+01:00,67263V1811577,78.0,25.0,3.0,4.0,2.0,15.0,1.0
